All entries in Hipparcos input with a radial velocity
Hip #, radeg,decdeg,l,b,rv,spectral type and luminosity class 
[FORMAT(I6,5(F8.1),2X,a11)]
   442     1.3   -21.3    59.4   -78.0    30.0  B9V        
   443     1.3    -5.7    93.8   -65.9    -6.1  K1III      
   447     1.3     8.8   104.1   -52.4  -212.9  G4V:p      
   457     1.4   -42.9   330.6   -71.7    36.0  M3III      
   466     1.4    53.2   116.0    -9.1     6.0  K0         
   472     1.4    55.7   116.5    -6.6   -10.0  K0III      
   473     1.4    45.8   114.7   -16.3     3.5  K2         
   476     1.4    13.4   106.2   -48.0     2.0  G5III      
   490     1.5   -41.8   332.5   -72.7     3.2  G0V        
   502     1.5    28.3   110.9   -33.5    12.9  K5III      
   503     1.5    16.5   107.4   -45.0    26.7  G5         
   505     1.5    63.7   117.9     1.2   -62.8  O6pe       
   512     1.5   -29.2    18.8   -79.8     5.0  B9V        
   516     1.6   -32.8     0.0   -78.7    34.0  M1III      
   518     1.6    58.4   117.0    -3.9   -11.6  G5V        
   519     1.6   -64.2   310.9   -52.2    17.2  F3IV       
   522     1.6   -49.1   321.6   -66.4     2.6  G1IV...    
   526     1.6    60.5   117.4    -1.9   -13.0  F0         
   530     1.6    42.8   114.2   -19.4   -32.0  G1V        
   531     1.6    64.2   118.1     1.8    -0.4  B9III      
   536     1.6    27.1   110.8   -34.7   -33.0  M6e        
   540     1.6    28.6   111.1   -33.3     3.4  G9III      
   544     1.7    29.0   111.3   -32.8    -5.6  K0V        
   560     1.7   -23.1    52.2   -79.1     3.1  F2IV       
   582     1.8    62.4   117.8     0.0   -10.0  A0V        
   584     1.8   -15.9    78.3   -74.7   -10.0  F5V        
   585     1.8   -30.6    10.8   -79.7   -11.9  A1V        
   596     1.8   -76.7   306.2   -40.1    28.3  F5IV-V     
   597     1.8    73.2   119.7    10.6   -20.0  F2         
   607     1.8    26.5   110.8   -35.4    12.6  K1IV       
   613     1.9    17.3   108.2   -44.3     1.7  K0         
   635     1.9    -2.5    98.0   -63.3    13.2  B8IIIsp... 
   636     1.9   -22.5    55.6   -79.1   -14.3  A1V        
   649     2.0    -7.5    93.2   -67.9   -22.0  F5V        
   653     2.0   -30.0    13.4   -80.0   -15.0  A8/A9V     
   664     2.1    -2.4    98.3   -63.2     0.6  K2III      
   671     2.1    -8.8    91.8   -69.1    20.4  G8III:     
   677     2.1    29.1   111.7   -32.8   -11.7  B9p        
   682     2.1     6.6   104.2   -54.7    -3.9  G2V        
   684     2.1   -44.3   326.9   -70.8   -22.0  A3III      
   695     2.1    63.2   118.1     0.7    -6.0  G3II       
   696     2.1   -17.6    74.7   -76.2   -17.1  M0/M1IIICNp
   699     2.2    36.6   113.4   -25.5   -13.8  F8IV       
   701     2.2    74.2   120.0    11.6     5.7  A0         
   704     2.2    14.1   107.5   -47.5   -36.7  K0         
   705     2.2    86.8   122.3    24.0   -79.8  G2V        
   716     2.2    25.5   111.0   -36.4    14.7  K0III      
   720     2.2   -22.2    57.7   -79.2    -0.5  M2III      
   723     2.2    66.5   118.7     3.9   -59.7  G5         
   728     2.3    28.2   111.7   -33.7    -2.0  A4Vm       
   729     2.3    18.2   109.0   -43.5   -21.1  G9III      
   730     2.3   -54.0   316.2   -62.0     0.9  G4IV...    
   746     2.3    59.1   117.5    -3.3    11.3  F2III-IV   
   755     2.3    65.1   118.5     2.6     7.2  K0         
   760     2.3    79.7   121.0    17.0    -3.0  A7IV       
   761     2.3   -28.0    25.2   -80.6     9.0  F3V        
   765     2.4   -45.7   324.3   -69.6    -9.2  K0III      
   767     2.4    46.4   115.4   -15.9    -6.0  B9         
   768     2.4    19.1   109.4   -42.7   -24.0  G3V        
   773     2.4    19.6   109.6   -42.2     2.0  G8IV       
   779     2.4    62.7   118.2     0.2   -87.3  M1Ibpevar..
   781     2.4    51.6   116.3   -10.8   -25.8  M3:e...    
   786     2.4   -37.3   341.2   -76.5     1.4  F3/F5V     
   803     2.5    -2.6    99.1   -63.5    18.0  K2         
   810     2.5   -25.9    38.3   -80.6    -8.0  A2V        
   813     2.5    11.1   106.9   -50.4    13.9  B9V        
   814     2.5   -82.2   304.6   -34.8    15.0  K1/K2III   
   840     2.6    -5.2    97.0   -66.0    23.8  K1III      
   841     2.6    46.1   115.5   -16.2    -5.4  F2II       
   843     2.6    18.7   109.5   -43.2   -19.5  K0         
   852     2.6    28.7   112.2   -33.4   -10.9  M4III:     
   856     2.6    15.2   108.5   -46.5    -4.0  F6V        
   857     2.6    57.2   117.4    -5.3     1.8  B7IV       
   858     2.6    33.1   113.2   -29.0   -13.7  K4III      
   860     2.6    59.7   117.8    -2.8    -3.0  B1V        
   865     2.7   -73.2   307.0   -43.6   -13.7  F3/F5IV+...
   871     2.7    54.9   117.1    -7.5    -9.7  B7e+...    
   873     2.7   -12.6    87.7   -72.6     8.2  K0III      
   893     2.7   -18.6    73.4   -77.4   -12.9  M3III      
   895     2.8    29.6   112.5   -32.5     9.7  F5V        
   910     2.8   -15.5    82.2   -75.1    14.7  F5V        
   911     2.8   -20.7    65.7   -78.8   -85.0  F4         
   915     2.8   -32.4   359.3   -79.8     6.1  A3V        
   919     2.8    30.4   112.8   -31.6    -3.4  K0V        
   929     2.9   -58.9   312.5   -57.5    -4.6  G4V        
   930     2.9   -27.8    26.3   -81.1    -5.7  K2III      
   940     2.9    58.2   117.7    -4.2   -25.6  B5II:...   
   942     2.9    63.4   118.5     0.9     4.0  A0V        
   948     2.9   -39.2   334.8   -75.3   -13.1  K5V        
   950     2.9   -35.1   347.2   -78.3    -1.7  F3/F5V     
   952     2.9    27.5   112.2   -34.5    -9.0  F5V        
   967     3.0    48.2   116.2   -14.2    15.7  K4III      
   983     3.0   -17.9    76.3   -77.1    -8.0  K4III      
  1013     3.2   -26.9    32.5   -81.4     6.0  K1IV       
  1027     3.2    15.6   109.4   -46.3     5.5  K0         
  1030     3.2    37.7   114.6   -24.5    -9.9  B2V        
  1042     3.3    62.7   118.6     0.2     8.0  F2V        
  1046     3.3   -22.5    59.0   -80.1   -16.0  G8/K0III   
  1055     3.3    20.4   110.9   -41.6   -39.0  M0         
  1057     3.3    16.9   109.9   -45.0     9.6  K1III      
  1063     3.3    62.0   118.5    -0.5     9.0  Am...      
  1066     3.3   -37.8   337.5   -76.6    36.7  K3/K4III   
  1067     3.3    15.2   109.4   -46.7     4.0  B2IV       
  1076     3.3    27.0   112.6   -35.1    -9.0  G0III      
  1079     3.4    27.0   112.6   -35.1   -15.6  K2III      
  1086     3.4    41.0   115.3   -21.3   -28.8  F0IV       
  1088     3.4   -29.6    14.4   -81.3     1.3  A5IV       
  1096     3.4   -26.0    38.3   -81.5   -29.5  K5III      
  1098     3.4    18.6   110.6   -43.3   -30.9  G5         
  1099     3.4   -26.3    36.5   -81.5    17.6  K4III      
  1104     3.4    54.5   117.4    -8.0   -21.0  B3         
  1115     3.5   -17.5    78.9   -77.1    -9.0  B4V        
  1120     3.5    -3.9   100.3   -65.1   -23.0  G6III      
  1123     3.5    33.2   114.0   -29.0     0.9  A1V        
