#   indx         mu         mg         mr         mi         mz          Mr
#
   36083 1.913057e+01 1.787908e+01 1.721888e+01 1.679028e+01 1.651741e+01 -2.042252e+01
   36109 1.937161e+01 1.771856e+01 1.688243e+01 1.643821e+01 1.607312e+01 -2.055477e+01
   36143 1.936012e+01 1.750674e+01 1.690286e+01 1.652271e+01 1.629519e+01 -2.062271e+01
   36174 1.880172e+01 1.755924e+01 1.718672e+01 1.688557e+01 1.676662e+01 -2.025101e+01
   36183 1.854928e+01 1.768048e+01 1.728126e+01 1.691051e+01 1.673054e+01 -2.028137e+01
   36200 2.007968e+01 1.837472e+01 1.751567e+01 1.709031e+01 1.673487e+01 -1.991086e+01
   36205 1.902250e+01 1.769557e+01 1.692287e+01 1.646976e+01 1.613415e+01 -2.058028e+01
   36241 1.962218e+01 1.799790e+01 1.702862e+01 1.655122e+01 1.630367e+01 -2.072264e+01
   36243 1.952520e+01 1.788918e+01 1.711054e+01 1.670678e+01 1.636466e+01 -2.062624e+01
   36266 1.796726e+01 1.713383e+01 1.651217e+01 1.613220e+01 1.588893e+01 -2.124924e+01
   36271 1.941175e+01 1.782315e+01 1.692134e+01 1.648229e+01 1.620252e+01 -2.084054e+01
   36272 1.907189e+01 1.749263e+01 1.667230e+01 1.621715e+01 1.591869e+01 -2.097406e+01
   36277 1.896650e+01 1.750890e+01 1.657247e+01 1.617045e+01 1.586055e+01 -2.095074e+01
   36278 2.027270e+01 1.797454e+01 1.704197e+01 1.655781e+01 1.615675e+01 -2.046664e+01
   36284 1.804387e+01 1.660290e+01 1.576013e+01 1.533751e+01 1.505242e+01 -2.175518e+01
   36291 1.985043e+01 1.805399e+01 1.714056e+01 1.671372e+01 1.630825e+01 -2.037595e+01
   36300 1.841729e+01 1.706315e+01 1.633463e+01 1.599763e+01 1.575304e+01 -2.098336e+01
   36330 2.115560e+01 1.852261e+01 1.753978e+01 1.711038e+01 1.684596e+01 -2.011839e+01
   36331 2.008849e+01 1.846889e+01 1.754577e+01 1.717978e+01 1.682076e+01 -2.009309e+01
   36341 1.960040e+01 1.819963e+01 1.730696e+01 1.686578e+01 1.663858e+01 -2.029108e+01
   36365 1.920824e+01 1.809955e+01 1.753890e+01 1.725926e+01 1.688487e+01 -2.010227e+01
   36369 1.865190e+01 1.721328e+01 1.631732e+01 1.591200e+01 1.560464e+01 -2.131887e+01
   36372 1.972856e+01 1.812623e+01 1.726905e+01 1.683546e+01 1.651735e+01 -2.037682e+01
   36373 1.987285e+01 1.840122e+01 1.760399e+01 1.717675e+01 1.690753e+01 -2.004638e+01
   36392 1.809088e+01 1.723059e+01 1.686402e+01 1.653081e+01 1.646560e+01 -2.061817e+01
   36394 1.903328e+01 1.748936e+01 1.680949e+01 1.636962e+01 1.606087e+01 -2.065506e+01
   36395 1.804515e+01 1.700246e+01 1.647410e+01 1.600375e+01 1.586699e+01 -2.099433e+01
   36396 1.853072e+01 1.759204e+01 1.703966e+01 1.658369e+01 1.640907e+01 -2.043983e+01
   36397 1.969349e+01 1.784287e+01 1.701426e+01 1.661010e+01 1.632343e+01 -2.056609e+01
   36399 1.921609e+01 1.772760e+01 1.707518e+01 1.677344e+01 1.648716e+01 -2.040047e+01
   36406 1.849722e+01 1.761042e+01 1.704372e+01 1.667002e+01 1.631347e+01 -2.065945e+01
   36415 1.874289e+01 1.741751e+01 1.666760e+01 1.626663e+01 1.601736e+01 -2.078869e+01
   36424 1.895492e+01 1.759788e+01 1.690592e+01 1.642552e+01 1.611510e+01 -2.055620e+01
   36430 1.892753e+01 1.764265e+01 1.696933e+01 1.660732e+01 1.625479e+01 -2.048259e+01
   36436 1.950778e+01 1.815576e+01 1.743781e+01 1.701808e+01 1.662762e+01 -2.001466e+01
   36437 1.938508e+01 1.781367e+01 1.693512e+01 1.649110e+01 1.613490e+01 -2.045829e+01
   36440 1.820296e+01 1.727427e+01 1.686298e+01 1.660135e+01 1.640937e+01 -2.054291e+01
   36443 1.907430e+01 1.809926e+01 1.741545e+01 1.697416e+01 1.661573e+01 -1.998595e+01
   36444 1.938944e+01 1.819222e+01 1.759305e+01 1.721445e+01 1.691152e+01 -1.980052e+01
   36447 1.914327e+01 1.751471e+01 1.665217e+01 1.621611e+01 1.590292e+01 -2.080741e+01
   36472 1.938144e+01 1.802293e+01 1.709073e+01 1.667620e+01 1.627741e+01 -2.036989e+01
   36481 1.899860e+01 1.799838e+01 1.754931e+01 1.730261e+01 1.711117e+01 -1.990234e+01
   36487 1.882273e+01 1.752842e+01 1.706539e+01 1.675621e+01 1.671795e+01 -2.040586e+01
   36535 1.940521e+01 1.807404e+01 1.729076e+01 1.692196e+01 1.657443e+01 -2.027948e+01
   36536 1.903756e+01 1.794406e+01 1.725586e+01 1.685753e+01 1.661461e+01 -2.008068e+01
   36586 1.856868e+01 1.732091e+01 1.658930e+01 1.617423e+01 1.593684e+01 -2.112599e+01
   36590 1.807722e+01 1.710041e+01 1.651483e+01 1.615587e+01 1.610519e+01 -2.124463e+01
   36602 1.907864e+01 1.766537e+01 1.721852e+01 1.697510e+01 1.690875e+01 -2.035172e+01
   36607 1.971898e+01 1.814574e+01 1.727576e+01 1.689510e+01 1.665987e+01 -2.027614e+01
   36616 2.009509e+01 1.837299e+01 1.759747e+01 1.719533e+01 1.689009e+01 -1.972201e+01
   36625 1.909791e+01 1.734556e+01 1.657988e+01 1.624206e+01 1.602008e+01 -2.098098e+01
   36637 2.038296e+01 1.823953e+01 1.737187e+01 1.692808e+01 1.658708e+01 -2.029376e+01
   36639 1.898668e+01 1.738459e+01 1.646033e+01 1.609321e+01 1.582818e+01 -2.121959e+01
   36642 1.940527e+01 1.734066e+01 1.636908e+01 1.594717e+01 1.556853e+01 -2.127221e+01
   36643 1.973866e+01 1.802971e+01 1.707614e+01 1.662703e+01 1.614371e+01 -2.056047e+01
   36644 1.923730e+01 1.802969e+01 1.727055e+01 1.685427e+01 1.665231e+01 -2.036462e+01
   36647 1.944559e+01 1.829097e+01 1.732903e+01 1.687013e+01 1.648089e+01 -2.027596e+01
   36654 1.825798e+01 1.716519e+01 1.659851e+01 1.625086e+01 1.598882e+01 -2.104229e+01
   36663 1.798808e+01 1.677668e+01 1.610054e+01 1.579962e+01 1.562863e+01 -2.158520e+01
   36664 1.886485e+01 1.807207e+01 1.757651e+01 1.719330e+01 1.697354e+01 -2.012726e+01
   36666 1.908914e+01 1.803900e+01 1.750590e+01 1.721328e+01 1.695309e+01 -2.019158e+01
   36668 1.959077e+01 1.785661e+01 1.694074e+01 1.655204e+01 1.624367e+01 -2.075801e+01
   36671 1.918097e+01 1.720400e+01 1.630350e+01 1.586103e+01 1.549145e+01 -2.142916e+01
   36677 1.961115e+01 1.836889e+01 1.755626e+01 1.722684e+01 1.691942e+01 -2.003696e+01
   36679 2.033570e+01 1.833573e+01 1.747729e+01 1.709886e+01 1.676199e+01 -2.017624e+01
   36680 1.955474e+01 1.823300e+01 1.750393e+01 1.713556e+01 1.679287e+01 -2.013187e+01
   36683 1.893108e+01 1.711312e+01 1.623106e+01 1.584148e+01 1.559688e+01 -2.143089e+01
   36684 1.984585e+01 1.793532e+01 1.706652e+01 1.667122e+01 1.634667e+01 -2.058420e+01
   36685 1.950255e+01 1.819755e+01 1.739053e+01 1.691450e+01 1.654096e+01 -2.026525e+01
   36686 1.876919e+01 1.716951e+01 1.629041e+01 1.589630e+01 1.555339e+01 -2.137110e+01
   36694 1.833432e+01 1.673936e+01 1.583254e+01 1.539500e+01 1.510710e+01 -2.184489e+01
   36700 1.940304e+01 1.807407e+01 1.717322e+01 1.674314e+01 1.636891e+01 -2.049448e+01
   36713 1.987264e+01 1.814923e+01 1.720926e+01 1.677842e+01 1.638808e+01 -2.049001e+01
   36729 1.891602e+01 1.755535e+01 1.703516e+01 1.663670e+01 1.646386e+01 -2.067805e+01
   36768 1.772967e+01 1.656050e+01 1.591140e+01 1.557825e+01 1.528292e+01 -2.154039e+01
   36777 1.839067e+01 1.722474e+01 1.650970e+01 1.612844e+01 1.594073e+01 -2.107892e+01
   36779 1.871836e+01 1.739505e+01 1.669366e+01 1.626753e+01 1.594560e+01 -2.067492e+01
   36785 1.880149e+01 1.711921e+01 1.618810e+01 1.575938e+01 1.567640e+01 -2.117685e+01
   36826 1.986004e+01 1.822815e+01 1.738341e+01 1.700511e+01 1.669747e+01 -2.017194e+01
   36854 1.859818e+01 1.723907e+01 1.662431e+01 1.629226e+01 1.603063e+01 -2.100956e+01
   36871 1.953072e+01 1.801724e+01 1.716899e+01 1.679086e+01 1.647469e+01 -2.058848e+01
   36924 1.825127e+01 1.693646e+01 1.612570e+01 1.568188e+01 1.523653e+01 -2.161255e+01
   36926 1.985021e+01 1.839317e+01 1.746729e+01 1.705290e+01 1.668089e+01 -2.028780e+01
   36930 1.911047e+01 1.769054e+01 1.682403e+01 1.640953e+01 1.610978e+01 -2.091480e+01
   36938 1.899439e+01 1.808581e+01 1.749104e+01 1.712795e+01 1.691390e+01 -2.005832e+01
   36939 1.960357e+01 1.789519e+01 1.693855e+01 1.651078e+01 1.617939e+01 -2.064042e+01
   36940 1.847296e+01 1.771054e+01 1.705312e+01 1.672419e+01 1.657029e+01 -2.049120e+01
   36941 1.907466e+01 1.739994e+01 1.649270e+01 1.608474e+01 1.575394e+01 -2.126799e+01
   36981 1.740809e+01 1.625828e+01 1.566686e+01 1.528808e+01 1.505140e+01 -2.184744e+01
   36992 1.727386e+01 1.631770e+01 1.592866e+01 1.560282e+01 1.548009e+01 -2.165056e+01
   37016 2.062794e+01 1.709783e+01 1.618384e+01 1.572221e+01 1.535592e+01 -2.129349e+01
   37019 1.797891e+01 1.668937e+01 1.595627e+01 1.552166e+01 1.525431e+01 -2.147116e+01
   37024 1.865156e+01 1.679809e+01 1.598735e+01 1.554982e+01 1.524752e+01 -2.155146e+01
   37025 1.890059e+01 1.753946e+01 1.670668e+01 1.630620e+01 1.600227e+01 -2.082735e+01
   37028 1.826908e+01 1.732506e+01 1.689253e+01 1.667461e+01 1.644899e+01 -2.075539e+01
   37041 1.951492e+01 1.784862e+01 1.705598e+01 1.664526e+01 1.642049e+01 -2.056755e+01
   37053 1.932199e+01 1.748975e+01 1.681940e+01 1.653589e+01 1.628555e+01 -2.086196e+01
   37060 1.997925e+01 1.795007e+01 1.701341e+01 1.659991e+01 1.629816e+01 -2.073396e+01
   37066 1.944954e+01 1.802592e+01 1.736128e+01 1.698612e+01 1.678810e+01 -2.038953e+01
   37075 1.929155e+01 1.736086e+01 1.641209e+01 1.598242e+01 1.563622e+01 -2.128308e+01
   37091 1.962322e+01 1.778860e+01 1.686510e+01 1.648217e+01 1.624190e+01 -2.083707e+01
   37093 1.989640e+01 1.801689e+01 1.713190e+01 1.672648e+01 1.639211e+01 -2.052174e+01
   37094 1.941107e+01 1.796832e+01 1.718616e+01 1.676582e+01 1.644549e+01 -2.049478e+01
   37095 1.845731e+01 1.708240e+01 1.640707e+01 1.605020e+01 1.573983e+01 -2.127341e+01
   37096 1.867552e+01 1.696031e+01 1.609323e+01 1.566796e+01 1.542690e+01 -2.160403e+01
   37098 1.877232e+01 1.717895e+01 1.631097e+01 1.590641e+01 1.562666e+01 -2.138945e+01
   37110 1.864842e+01 1.764245e+01 1.696302e+01 1.667476e+01 1.656009e+01 -2.076762e+01
   37148 2.035002e+01 1.828740e+01 1.740680e+01 1.700975e+01 1.668052e+01 -2.002967e+01
   37208 1.982393e+01 1.798716e+01 1.702949e+01 1.659649e+01 1.626252e+01 -2.052247e+01
   37256 1.994966e+01 1.839936e+01 1.747949e+01 1.706548e+01 1.675200e+01 -2.004684e+01
   37304 2.069199e+01 1.824689e+01 1.731165e+01 1.690404e+01 1.661053e+01 -2.023955e+01
   37307 1.948889e+01 1.795173e+01 1.703102e+01 1.659443e+01 1.623549e+01 -2.052380e+01
   37309 1.925717e+01 1.751755e+01 1.669456e+01 1.622261e+01 1.585796e+01 -2.094159e+01
   37330 1.980496e+01 1.831465e+01 1.759402e+01 1.721807e+01 1.706258e+01 -1.992953e+01
   37339 1.870626e+01 1.759990e+01 1.679134e+01 1.644134e+01 1.622685e+01 -2.081232e+01
   37346 2.006209e+01 1.802115e+01 1.750377e+01 1.723795e+01 1.674252e+01 -2.012604e+01
   37348 1.973269e+01 1.810541e+01 1.726292e+01 1.690401e+01 1.653718e+01 -2.035684e+01
   37361 1.942767e+01 1.798590e+01 1.709312e+01 1.671367e+01 1.633953e+01 -2.037451e+01
   37366 2.067418e+01 1.857066e+01 1.751916e+01 1.712266e+01 1.694555e+01 -2.010699e+01
   37369 1.815112e+01 1.714666e+01 1.654316e+01 1.622016e+01 1.605016e+01 -2.112941e+01
   37375 1.969896e+01 1.811988e+01 1.754605e+01 1.721375e+01 1.715178e+01 -1.995869e+01
   37398 1.869704e+01 1.768545e+01 1.735676e+01 1.712732e+01 1.725339e+01 -2.031071e+01
   37405 1.916938e+01 1.819919e+01 1.761282e+01 1.725155e+01 1.724667e+01 -2.003621e+01
   37428 1.857088e+01 1.784582e+01 1.746770e+01 1.711321e+01 1.698022e+01 -2.012332e+01
   37430 2.011505e+01 1.846100e+01 1.759735e+01 1.721806e+01 1.688260e+01 -2.009361e+01
   37432 1.889273e+01 1.755349e+01 1.679092e+01 1.639269e+01 1.615093e+01 -2.093885e+01
   37437 2.008202e+01 1.842733e+01 1.752289e+01 1.708535e+01 1.671310e+01 -2.018145e+01
   37441 1.831549e+01 1.739824e+01 1.687110e+01 1.646947e+01 1.635149e+01 -2.082577e+01
   37447 1.911593e+01 1.798623e+01 1.739631e+01 1.694517e+01 1.660763e+01 -2.030058e+01
   37450 1.882981e+01 1.786733e+01 1.712477e+01 1.675125e+01 1.647977e+01 -2.058650e+01
   37481 1.829936e+01 1.710094e+01 1.652736e+01 1.617456e+01 1.588704e+01 -2.084935e+01
   37504 1.798240e+01 1.683551e+01 1.618596e+01 1.577819e+01 1.555571e+01 -2.137766e+01
   37508 1.841999e+01 1.743815e+01 1.706181e+01 1.673146e+01 1.653081e+01 -2.030133e+01
   37519 1.851303e+01 1.759479e+01 1.725350e+01 1.700259e+01 1.685302e+01 -2.036252e+01
   37528 1.810025e+01 1.708098e+01 1.655311e+01 1.616115e+01 1.598765e+01 -2.105943e+01
   37606 2.029805e+01 1.818829e+01 1.730570e+01 1.685152e+01 1.660018e+01 -2.017550e+01
   37607 1.957296e+01 1.788273e+01 1.699369e+01 1.655345e+01 1.615191e+01 -2.068974e+01
   37636 1.900785e+01 1.765062e+01 1.678094e+01 1.637127e+01 1.602702e+01 -2.051766e+01
   37654 1.952533e+01 1.830940e+01 1.761526e+01 1.726114e+01 1.693360e+01 -1.994941e+01
   37655 1.962231e+01 1.823518e+01 1.754625e+01 1.717132e+01 1.699068e+01 -1.990623e+01
   37665 1.940326e+01 1.781912e+01 1.713928e+01 1.683976e+01 1.657334e+01 -2.032058e+01
   37697 1.958522e+01 1.824055e+01 1.757087e+01 1.725043e+01 1.689211e+01 -2.010095e+01
   37700 1.844296e+01 1.741405e+01 1.684941e+01 1.652913e+01 1.639905e+01 -2.079323e+01
   37707 1.903703e+01 1.792103e+01 1.713496e+01 1.671054e+01 1.639108e+01 -2.051855e+01
   37718 1.895821e+01 1.756145e+01 1.675861e+01 1.639090e+01 1.609009e+01 -2.090635e+01
   37772 1.974945e+01 1.831462e+01 1.751811e+01 1.716376e+01 1.685323e+01 -2.017221e+01
   37773 1.771902e+01 1.657065e+01 1.594630e+01 1.559356e+01 1.536514e+01 -2.175024e+01
   37780 1.842132e+01 1.750226e+01 1.676029e+01 1.636464e+01 1.609780e+01 -2.094724e+01
   37784 1.816331e+01 1.755696e+01 1.732153e+01 1.707775e+01 1.688797e+01 -2.037106e+01
   37788 2.001882e+01 1.839824e+01 1.752746e+01 1.714296e+01 1.678798e+01 -1.988401e+01
   37789 1.909821e+01 1.805771e+01 1.747783e+01 1.717103e+01 1.693918e+01 -2.022483e+01
   37819 1.923209e+01 1.785825e+01 1.712643e+01 1.661300e+01 1.640222e+01 -2.024851e+01
   37850 1.897210e+01 1.803682e+01 1.736933e+01 1.703550e+01 1.671087e+01 -2.020257e+01
   37851 1.999900e+01 1.845362e+01 1.752104e+01 1.713345e+01 1.682637e+01 -2.004507e+01
   37942 1.855942e+01 1.758537e+01 1.708300e+01 1.666709e+01 1.653470e+01 -2.045494e+01
   37963 1.864553e+01 1.770591e+01 1.701270e+01 1.663062e+01 1.638907e+01 -2.066329e+01
   37967 1.913732e+01 1.740359e+01 1.648207e+01 1.602519e+01 1.574580e+01 -2.104805e+01
   37968 2.014783e+01 1.851464e+01 1.755359e+01 1.710084e+01 1.671694e+01 -1.997215e+01
   37973 1.986704e+01 1.721109e+01 1.627916e+01 1.589193e+01 1.562227e+01 -2.124584e+01
   37975 1.862450e+01 1.752711e+01 1.689613e+01 1.652979e+01 1.632788e+01 -2.063526e+01
   37981 1.865696e+01 1.789915e+01 1.755979e+01 1.729516e+01 1.707542e+01 -2.002705e+01
   38002 1.866370e+01 1.716640e+01 1.622004e+01 1.581318e+01 1.551443e+01 -2.134082e+01
   38004 1.904575e+01 1.793018e+01 1.726162e+01 1.691996e+01 1.667837e+01 -2.031050e+01
   38014 1.997097e+01 1.824353e+01 1.743843e+01 1.698133e+01 1.667257e+01 -2.001876e+01
   38015 1.982722e+01 1.793544e+01 1.712889e+01 1.675757e+01 1.648449e+01 -2.030641e+01
   38016 1.968635e+01 1.835539e+01 1.757926e+01 1.724097e+01 1.700707e+01 -1.999320e+01
   38018 1.929051e+01 1.644135e+01 1.550783e+01 1.509359e+01 1.478156e+01 -2.193933e+01
   38026 1.866295e+01 1.763473e+01 1.713101e+01 1.678990e+01 1.657689e+01 -2.033111e+01
   38030 1.844088e+01 1.705557e+01 1.659966e+01 1.638453e+01 1.622416e+01 -2.105030e+01
   38031 1.791875e+01 1.673820e+01 1.618653e+01 1.583177e+01 1.565890e+01 -2.145473e+01
   38061 1.752541e+01 1.690626e+01 1.647579e+01 1.613790e+01 1.609405e+01 -2.118314e+01
   38080 1.866910e+01 1.794658e+01 1.759069e+01 1.728680e+01 1.737766e+01 -2.013162e+01
   38231 1.928915e+01 1.786653e+01 1.728229e+01 1.692262e+01 1.667908e+01 -2.027801e+01
   38242 1.889514e+01 1.795141e+01 1.744710e+01 1.709327e+01 1.697575e+01 -2.000834e+01
   38243 1.876003e+01 1.792037e+01 1.747155e+01 1.721692e+01 1.729844e+01 -1.999924e+01
   38300 1.887536e+01 1.704125e+01 1.631490e+01 1.587411e+01 1.572018e+01 -2.112538e+01
   38302 1.868526e+01 1.750671e+01 1.681682e+01 1.640977e+01 1.613668e+01 -2.063881e+01
   38311 1.846288e+01 1.727454e+01 1.668149e+01 1.639980e+01 1.615257e+01 -2.093698e+01
   38313 1.836090e+01 1.689694e+01 1.609689e+01 1.568932e+01 1.541111e+01 -2.154589e+01
   38315 1.934756e+01 1.771730e+01 1.680624e+01 1.642045e+01 1.615425e+01 -2.081536e+01
   38316 1.941224e+01 1.789347e+01 1.697717e+01 1.651865e+01 1.614862e+01 -2.064620e+01
   38336 1.927177e+01 1.780642e+01 1.699901e+01 1.659781e+01 1.642060e+01 -2.063328e+01
   38346 1.916182e+01 1.774452e+01 1.713569e+01 1.681613e+01 1.661191e+01 -2.052095e+01
   38370 1.967775e+01 1.787832e+01 1.697154e+01 1.657059e+01 1.624130e+01 -2.070606e+01
   38379 1.847354e+01 1.738712e+01 1.663166e+01 1.625565e+01 1.601969e+01 -2.079511e+01
   38383 1.888949e+01 1.768997e+01 1.715345e+01 1.684770e+01 1.666660e+01 -2.054484e+01
   38386 1.981327e+01 1.804837e+01 1.719398e+01 1.678164e+01 1.643551e+01 -2.024246e+01
   38387 1.893136e+01 1.784333e+01 1.722006e+01 1.680125e+01 1.659960e+01 -2.046559e+01
   38390 1.786778e+01 1.698057e+01 1.647687e+01 1.616662e+01 1.607458e+01 -2.121895e+01
   38392 1.881989e+01 1.779057e+01 1.731377e+01 1.700089e+01 1.676354e+01 -2.037518e+01
   38395 1.902651e+01 1.680796e+01 1.595690e+01 1.557183e+01 1.526535e+01 -2.146023e+01
   38396 1.871006e+01 1.754634e+01 1.684941e+01 1.641543e+01 1.611115e+01 -2.058692e+01
   38398 1.943546e+01 1.813918e+01 1.761006e+01 1.727644e+01 1.715030e+01 -1.981924e+01
   38530 1.940359e+01 1.777843e+01 1.692646e+01 1.655157e+01 1.627562e+01 -2.060264e+01
   38572 1.957794e+01 1.762531e+01 1.672440e+01 1.627315e+01 1.594997e+01 -2.084079e+01
   38573 1.974294e+01 1.837238e+01 1.752200e+01 1.710318e+01 1.671601e+01 -2.013962e+01
   38574 1.857797e+01 1.780428e+01 1.742428e+01 1.711393e+01 1.716539e+01 -2.023723e+01
   38577 1.981157e+01 1.833553e+01 1.744470e+01 1.700064e+01 1.658004e+01 -2.031485e+01
   38588 1.928550e+01 1.793316e+01 1.743450e+01 1.712802e+01 1.698062e+01 -2.020251e+01
   38620 1.980819e+01 1.778460e+01 1.689605e+01 1.648534e+01 1.618650e+01 -2.066974e+01
   38622 1.977682e+01 1.814055e+01 1.753859e+01 1.714895e+01 1.677308e+01 -2.004226e+01
   38652 1.972205e+01 1.798981e+01 1.717879e+01 1.680128e+01 1.656923e+01 -2.031685e+01
   38689 1.921933e+01 1.819904e+01 1.761287e+01 1.721728e+01 1.708486e+01 -2.000945e+01
   38737 1.987444e+01 1.846701e+01 1.759744e+01 1.712208e+01 1.681160e+01 -1.973603e+01
   38754 1.787396e+01 1.658522e+01 1.582266e+01 1.541180e+01 1.509152e+01 -2.164461e+01
   38785 1.972998e+01 1.825575e+01 1.744033e+01 1.704650e+01 1.675814e+01 -2.032017e+01
   38807 1.847286e+01 1.750511e+01 1.681775e+01 1.651197e+01 1.615307e+01 -2.055963e+01
   38815 1.888422e+01 1.756677e+01 1.682788e+01 1.640877e+01 1.631563e+01 -2.057538e+01
   38971 2.061135e+01 1.811022e+01 1.724495e+01 1.682328e+01 1.664173e+01 -2.036467e+01
   38972 2.016703e+01 1.809503e+01 1.715671e+01 1.673572e+01 1.638428e+01 -2.034620e+01
   38973 2.013499e+01 1.788173e+01 1.699791e+01 1.654350e+01 1.615181e+01 -2.054796e+01
   38974 1.879760e+01 1.776076e+01 1.732233e+01 1.692635e+01 1.677707e+01 -2.020084e+01
   38976 1.826274e+01 1.711026e+01 1.647785e+01 1.609268e+01 1.582883e+01 -2.104163e+01
   38978 1.974695e+01 1.814666e+01 1.732144e+01 1.685349e+01 1.658005e+01 -2.020170e+01
   38985 1.952629e+01 1.835385e+01 1.748037e+01 1.711235e+01 1.688636e+01 -2.010093e+01
   38992 1.962129e+01 1.815169e+01 1.745602e+01 1.703483e+01 1.664888e+01 -2.015295e+01
   39043 2.000892e+01 1.823151e+01 1.739407e+01 1.702431e+01 1.663476e+01 -2.004235e+01
   39088 1.963203e+01 1.845599e+01 1.753010e+01 1.712359e+01 1.691279e+01 -2.010044e+01
   39099 1.863521e+01 1.725540e+01 1.658860e+01 1.620509e+01 1.602116e+01 -2.104016e+01
   39128 1.873282e+01 1.707797e+01 1.617244e+01 1.576342e+01 1.542496e+01 -2.149176e+01
   39149 1.965921e+01 1.722969e+01 1.627506e+01 1.591224e+01 1.562090e+01 -2.116683e+01
   39256 1.864433e+01 1.776661e+01 1.733674e+01 1.691764e+01 1.676212e+01 -2.012601e+01
   39285 1.910904e+01 1.756737e+01 1.695138e+01 1.665782e+01 1.644919e+01 -2.064546e+01
   39287 2.002501e+01 1.815299e+01 1.725761e+01 1.683609e+01 1.648234e+01 -2.026755e+01
   39289 1.959258e+01 1.806598e+01 1.726163e+01 1.692115e+01 1.662821e+01 -2.034378e+01
   39291 1.874735e+01 1.688603e+01 1.599361e+01 1.558189e+01 1.525328e+01 -2.160768e+01
   39293 1.899255e+01 1.745976e+01 1.657382e+01 1.615782e+01 1.586554e+01 -2.102162e+01
   39294 1.959854e+01 1.786944e+01 1.701207e+01 1.660421e+01 1.635741e+01 -2.057489e+01
   39297 1.966638e+01 1.795938e+01 1.704877e+01 1.661841e+01 1.628116e+01 -2.050965e+01
   39300 1.996822e+01 1.846992e+01 1.755595e+01 1.717010e+01 1.685483e+01 -1.997983e+01
   39340 1.973243e+01 1.845208e+01 1.754047e+01 1.714408e+01 1.668644e+01 -2.009467e+01
   39341 1.882033e+01 1.742774e+01 1.645783e+01 1.601692e+01 1.561479e+01 -2.115464e+01
   39342 1.860181e+01 1.748100e+01 1.676435e+01 1.631903e+01 1.593195e+01 -2.086376e+01
   39472 1.922243e+01 1.722750e+01 1.663452e+01 1.637940e+01 1.616805e+01 -2.067377e+01
   39526 1.935333e+01 1.843776e+01 1.748860e+01 1.705601e+01 1.689792e+01 -2.015095e+01
   39533 1.897764e+01 1.759375e+01 1.665456e+01 1.625523e+01 1.595956e+01 -2.099585e+01
   39547 1.880779e+01 1.729663e+01 1.640085e+01 1.596758e+01 1.565443e+01 -2.126366e+01
   39550 1.919451e+01 1.805456e+01 1.737510e+01 1.695875e+01 1.673516e+01 -2.023605e+01
   39699 1.953992e+01 1.809613e+01 1.732223e+01 1.690900e+01 1.660604e+01 -2.025129e+01
   39701 1.995683e+01 1.789598e+01 1.701241e+01 1.660699e+01 1.623584e+01 -2.053619e+01
   39710 1.921033e+01 1.801219e+01 1.743287e+01 1.706736e+01 1.664547e+01 -2.021953e+01
   39711 1.942741e+01 1.796379e+01 1.757886e+01 1.717588e+01 1.697296e+01 -1.984632e+01
   39715 1.946181e+01 1.782044e+01 1.718941e+01 1.682575e+01 1.647064e+01 -2.055685e+01
   39719 2.006277e+01 1.824674e+01 1.734452e+01 1.688091e+01 1.646165e+01 -2.030364e+01
   39720 1.885895e+01 1.761322e+01 1.703478e+01 1.663856e+01 1.653170e+01 -2.062564e+01
   39723 1.889217e+01 1.774989e+01 1.729521e+01 1.696005e+01 1.682556e+01 -2.026677e+01
   39725 1.988133e+01 1.781956e+01 1.692707e+01 1.650756e+01 1.619411e+01 -2.081318e+01
   39735 1.909230e+01 1.779849e+01 1.755740e+01 1.738269e+01 1.714813e+01 -2.005325e+01
   39746 1.900433e+01 1.753252e+01 1.675153e+01 1.638975e+01 1.613382e+01 -2.085869e+01
   39782 1.997256e+01 1.823850e+01 1.733699e+01 1.692529e+01 1.657195e+01 -2.008969e+01
   39786 1.825070e+01 1.748449e+01 1.730182e+01 1.705327e+01 1.700877e+01 -2.012567e+01
   39806 1.917219e+01 1.796578e+01 1.725944e+01 1.695227e+01 1.670866e+01 -2.004302e+01
   39900 1.954213e+01 1.796432e+01 1.729463e+01 1.682918e+01 1.652212e+01 -2.036096e+01
   39915 1.900397e+01 1.716072e+01 1.631815e+01 1.585954e+01 1.553401e+01 -2.110300e+01
   39918 1.961727e+01 1.786174e+01 1.736772e+01 1.716994e+01 1.665113e+01 -2.004999e+01
   39939 2.016922e+01 1.838173e+01 1.750595e+01 1.709295e+01 1.679292e+01 -2.019210e+01
   40039 1.917003e+01 1.816873e+01 1.744437e+01 1.702604e+01 1.675724e+01 -2.030806e+01
   40049 2.017552e+01 1.838864e+01 1.759952e+01 1.711646e+01 1.672464e+01 -1.984113e+01
   40079 1.945716e+01 1.812535e+01 1.746780e+01 1.710634e+01 1.696177e+01 -2.007552e+01
   40082 1.854889e+01 1.670680e+01 1.584610e+01 1.542219e+01 1.517481e+01 -2.170077e+01
   40100 1.887215e+01 1.750111e+01 1.670778e+01 1.628940e+01 1.597264e+01 -2.086275e+01
   40102 1.947493e+01 1.806614e+01 1.714365e+01 1.665714e+01 1.629296e+01 -2.043285e+01
   40104 1.838011e+01 1.732162e+01 1.648326e+01 1.608821e+01 1.589070e+01 -2.116613e+01
