#   indx         mu         mg         mr         mi         mz          Mr
#
    1749 1.917250e+01 1.847147e+01 1.748924e+01 1.702548e+01 1.654579e+01 -1.997812e+01
    1754 1.915306e+01 1.746390e+01 1.656853e+01 1.614357e+01 1.584818e+01 -2.102445e+01
    1769 2.040740e+01 1.843844e+01 1.759098e+01 1.717196e+01 1.680360e+01 -1.984725e+01
    1775 1.928778e+01 1.795954e+01 1.726661e+01 1.684622e+01 1.649107e+01 -2.017418e+01
    1809 1.892395e+01 1.774405e+01 1.731787e+01 1.701145e+01 1.685156e+01 -1.999096e+01
    1833 1.930265e+01 1.826341e+01 1.756290e+01 1.709740e+01 1.695323e+01 -2.017533e+01
    1845 1.904656e+01 1.772212e+01 1.723560e+01 1.693085e+01 1.668614e+01 -2.006553e+01
    1846 1.834733e+01 1.629499e+01 1.554868e+01 1.504925e+01 1.474268e+01 -2.176899e+01
    1847 1.842054e+01 1.678625e+01 1.600546e+01 1.561992e+01 1.537658e+01 -2.129988e+01
    1919 1.858021e+01 1.752110e+01 1.693585e+01 1.658658e+01 1.624147e+01 -2.075904e+01
    1931 2.007954e+01 1.835459e+01 1.754111e+01 1.713804e+01 1.680192e+01 -1.996763e+01
    1949 1.905389e+01 1.808373e+01 1.757886e+01 1.728062e+01 1.715926e+01 -1.983712e+01
    1998 1.937022e+01 1.814844e+01 1.758908e+01 1.725015e+01 1.707897e+01 -2.005305e+01
    1999 1.894084e+01 1.777252e+01 1.713073e+01 1.672025e+01 1.642898e+01 -2.050869e+01
    2001 1.917239e+01 1.795312e+01 1.705212e+01 1.659099e+01 1.621579e+01 -2.058236e+01
    2006 1.929845e+01 1.775246e+01 1.684016e+01 1.645020e+01 1.611148e+01 -2.055086e+01
    2008 1.888396e+01 1.765772e+01 1.699278e+01 1.660404e+01 1.639128e+01 -2.065029e+01
    2024 1.864823e+01 1.781824e+01 1.731738e+01 1.703141e+01 1.700264e+01 -2.035870e+01
    2041 1.981388e+01 1.800743e+01 1.709464e+01 1.669126e+01 1.632184e+01 -2.056956e+01
    2044 1.873606e+01 1.778903e+01 1.735974e+01 1.703129e+01 1.684301e+01 -2.032057e+01
    2227 1.911204e+01 1.783106e+01 1.723189e+01 1.682284e+01 1.664045e+01 -2.016701e+01
    2517 1.840116e+01 1.732949e+01 1.672019e+01 1.627291e+01 1.616483e+01 -2.083943e+01
    2564 1.959336e+01 1.832716e+01 1.741577e+01 1.703889e+01 1.662889e+01 -2.028335e+01
